CODIGO,ESTABLECIMIENTO,DIRECCION_STD,ZONA,TELEFONO,JORNADA,PLAN,MUNICIPIO,DEPARTAMENTO,DUP_CAPITAL_CODIGOS_DISTINTOS
00 - 07 - 0116 - 46,COLEGIO TECNICO EN COMPUTACION SAN JUAN,"CALLE 8, COLONIA QUINTA SAMAYOA, 9A. - 63 Y 8 - 67",7,24754329,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 07 - 0207 - 46,LICEO MIXTO EN COMPUTACION ROTTERDAM,"31 AVENIDA14 - 12 , CIUDAD DE PLATA II",7,24738493,SIN JORNADA,SEMIPRESENCIAL (DOS DIAS A LA SEMANA),GUATEMALA,GUATEMALA,True
00 - 07 - 0210 - 46,LICEO MIXTO EN COMPUTACION ROTTERDAM,"31 AVENIDA14 - 12 , CIUDAD DE PLATA II",7,24738493,SIN JORNADA,SEMIPRESENCIAL (DOS DIAS A LA SEMANA),GUATEMALA,GUATEMALA,True
00 - 07 - 9094 - 46,LICEO DE CIENCIA Y TECNOLOGIA,"COLONIA EL RODEO, CALZADA SAN JUAN 37 - 78",7,24321644,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 07 - 9200 - 46,INSTITUTO PRIVADO MIXTO SAN JUAN,CALZADA SAN JUAN 31 - 47,7,59515512,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 07 - 9402 - 46,INSTITUTO PRIVADO MIXTO SAN JUAN,CALZADA SAN JUAN 31 - 47,7,59515512,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 07 - 9545 - 46,LICEO DE CIENCIA Y TECNOLOGIA,"COLONIA EL RODEO, CALZADA SAN JUAN 37 - 78",7,24321644,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 11 - 0019 - 46,COLEGIO PANAMERICANO NO. 6,"AVENIDA 0, 35 - 45, PLAZA HELVETIA",11,24964444,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 11 - 0036 - 46,COLEGIO PANAMERICANO NO. 6,"AVENIDA 0, 35 - 45, PLAZA HELVETIA",11,24964444,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 12 - 0048 - 46,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40 - 54",12,23750070,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 12 - 0049 - 46,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40 - 54",12,23750070,VESPERTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 12 - 0051 - 46,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40 - 54",12,23750070,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 12 - 0052 - 46,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40 - 54",12,23750070,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 12 - 0055 - 46,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40 - 54",12,23750070,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 12 - 0056 - 46,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40 - 54",12,23750070,VESPERTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 18 - 0154 - 46,LICEO CUMORAH PINOS,"CALLE 31, 31 CALLE B 28 - 97, ALDEA LAS TAPIAS",18,22603106,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 18 - 0156 - 46,LICEO CUMORAH PINOS,"CALLE 31, 31 CALLE B 28 - 97, ALDEA LAS TAPIAS",18,22603106,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 18 - 0211 - 46,COLEGIO BELLO AMANECER 2,"COLONIA LAS ILUSIONES, LOTE 101 Y 102 SECCION C",18,42169124,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 18 - 0257 - 46,COLEGIO BELLO AMANECER 2,"COLONIA LAS ILUSIONES, LOTE 101 Y 102 SECCION C",18,42169124,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 19 - 0063 - 46,CENTRO EDUCATIVO CRISTIANO FUENTE DE VIDA NUMERO 2,"AVENIDA 1, COLONIA LA FLORIDA, 6A. - 67",19,22775656,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 19 - 0064 - 46,CENTRO EDUCATIVO CRISTIANO FUENTE DE VIDA NUMERO 2,"AVENIDA 1, COLONIA LA FLORIDA, 6A. - 67",19,22775656,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 19 - 0065 - 46,LICEO TECNICO VOCACIONAL GALILEI,"AVENIDA 4, COLONIA LA FLORIDA, 9A. - 31",19,24370206,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 19 - 0066 - 46,LICEO TECNICO VOCACIONAL GALILEI,"AVENIDA 4, COLONIA LA FLORIDA, 9A. - 31",19,24370206,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 19 - 0067 - 46,LICEO TECNICO VOCACIONAL GALILEI,"AVENIDA 4, COLONIA LA FLORIDA, 9A. - 31",19,24370206,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 19 - 0102 - 46,INED M. A. HERMENEGILDO DE JESUS PEREIRA DEL CID,"AVENIDA 5, COLONIA LA FLORIDA, 9A. - 05",19,55053278,NOCTURNA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 19 - 0112 - 46,INED M. A. HERMENEGILDO DE JESUS PEREIRA DEL CID,"AVENIDA 5, COLONIA LA FLORIDA, 9A. - 05",19,55053278,NOCTURNA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
